parcela,arvore,comum,cientifico,familia,dap2012,hcom,ht,vertical,luminosidade
T02,59,ingarana,Inga sp.,Fabaceae,34.5,8.35,20,S,1
T02,60,matamata,Eschweilera amazonica,Lecythidaceae,11.3,6.66,14.72,S,1
T02,61,fava vermelha,Stryphnodendron pulcherrimum,Fabaceae,23.5,10.46,17.12,E,1
T02,62,parapara,Jacaranda copaia,Bignoniaceae,11.1,10.55,11.58,S,1
T02,64,cajuacu,Anacardium spruceanum,Anacardiaceae,20.8,11.1,15.98,S,2
T02,65,abiu cutite,NA,NA,21,8.33,18.05,S,2
T02,66,abiu cutite,NA,NA,42,14.22,21.94,C,1
T02,67,casca seca,Licania canescens,Chrysobalanaceae,10.4,7.14,12.09,S,2
T02,69,embauba,Cecropia ficifolia,Urticaceae,25.3,13.28,20.13,S,1
T02,72,breu branco,Protium paniculatum,Burseraceae,12.8,10.96,15.91,S,2
T02,74,tamanqueira,Zanthoxylum rhoifolium,Rutaceae,32,15.09,21.69,S,2
T02,75,breu branco,Protium paniculatum,Burseraceae,54.3,23.59,35.56,S,1
T02,77,macucu,Licania guianensis,Chrysobalanaceae,36.7,6.48,11.14,C,1
T02,78,jatereu,Lecythis idatimon,Lecythidaceae,28.8,12.24,18.14,S,2
T02,79,abiu cutite,NA,NA,47.2,14.51,21.53,S,2
T02,83,ucurana,Sloanea guianensis,Elaeocarpaceae,28.9,13.64,21.84,S,2
T02,84,fava-core,Parkia nitida,Fabaceae,88.3,12.43,23.56,E,1
T02,85,abiu cutite,NA,NA,26.5,10.89,16.97,S,2
T02,87,abiurana,Pouteria gongrijpii,Sapotaceae,46,20.4,30.42,C,1
T02,90,coquirana,Chrysophyllum sanguinolentum,Sapotaceae,42,21.12,31.48,C,1
T02,92,casca seca,Licania canescens,Chrysobalanaceae,36.8,22.14,39.35,C,2
T02,94,guajara branco,Pouteria sp.,Sapotaceae,50.2,13.32,19.84,S,2
T02,97,breu branco,Protium paniculatum,Burseraceae,15.7,11.16,18.88,S,2
T02,98,cupiuba,Goupia glabra,Goupiaceae,63.8,16.61,24.42,E,1
T02,99,morta,NA,NA,10.9,NA,5.23,NA,NA
T02,100,inga,Inga marginata,Fabaceae,10.8,9.34,13.55,S,2
T02,102,sucupira,Diplotropis sp.,Fabaceae,51.4,25.18,30.97,E,1
T02,106,angelim rajado,Zygia racemosa,Fabaceae,31.7,14.97,21.71,S,1
T02,107,jatereu,Lecythis idatimon,Lecythidaceae,13.1,7.07,11.66,S,2
T02,109,capueiro,Rinorea guianensis,Violaceae,18.3,8.7,15.36,S,2
T02,110,abiu cutite,NA,NA,58.7,18.14,27.99,E,1
T02,111,inga,Inga marginata,Fabaceae,10,6.33,14,S,3
T02,112,capueiro,Rinorea guianensis,Violaceae,18.2,10.52,17.27,S,2
T02,113,fava vermelha,Stryphnodendron pulcherrimum,Fabaceae,65,29.07,39.82,E,1
T02,114,uxirana,Sacoglottis guianensis,Humiriaceae,28.7,16.7,27.83,C,2
T02,115,matamata,Eschweilera amazonica,Lecythidaceae,21,13.1,21.53,S,1
T02,116,macucu,Licania guianensis,Chrysobalanaceae,37,13.66,23,C,1
T02,117,morta,NA,NA,41.3,NA,31.44,NA,NA
T02,120,pintadinho,Poeppigia procera,Fabaceae,37.7,22.25,25.64,C,2
T02,121,capueiro,Rinorea guianensis,Violaceae,17.5,13.24,21.2,C,2
T02,122,casca seca,Licania canescens,Chrysobalanaceae,38,11.44,17.6,S,2
T02,123,matamata,Eschweilera amazonica,Lecythidaceae,16.7,10.56,17.37,S,1
T02,125,freijo branco,Cordia scabrifolia,Boraginaceae,40.5,16.86,26.3,C,2
T02,127,morta,NA,NA,40.8,NA,18.74,NA,NA
T02,128,matamata,Eschweilera amazonica,Lecythidaceae,45,20.1,27.84,S,2
T02,130,matamata vermelho,Eschweilera coriacea,Lecythidaceae,56.8,22.68,38.02,C,1
T02,131,jatereu,Lecythis idatimon,Lecythidaceae,11,9.98,15.29,S,2
T02,132,merauba,Mouriri collocarpa,Melastomataceae,25,16.7,27.78,S,2
T02,133,matamata,Eschweilera amazonica,Lecythidaceae,14,11.26,18,S,2
T02,136,tachi preto,Tachigali myrmecophila,Fabaceae,43.2,25.72,31.88,E,1
T02,137,joao-mole,Neea oppositifolia,Nyctaginaceae,52,29.19,36.96,E,1
T02,139,inhare,Helicostylis sp.,Moraceae,15.4,5.93,8.46,S,1
T02,140,envira preta,Guatteria schomburgkiana,Annonaceae,29.3,21.61,28.86,C,1
T02,141,jatereu,Lecythis idatimon,Lecythidaceae,22.5,8.34,13.16,C,1
T02,142,matamata,Eschweilera parviflora,Lecythidaceae,20.4,23.17,33,S,2
T02,143,louro vermelho,Sextonia rubra,Lauraceae,79.4,33.52,43.94,E,1
T02,144,breu barrote,Tetragastris panamensis,Burseraceae,10.2,12.61,16.82,S,1
T02,145,coquirana,Chrysophyllum sanguinolentum,Sapotaceae,11,9.67,12.49,S,2
T02,146,mato,NA,NA,19,2.64,8.39,S,1
T02,149,parapara,Jacaranda copaia,Bignoniaceae,12,11.37,13.97,S,2
T02,151,araracanga,Aspidosperma spruceanum,Apocynaceae,54.5,26.78,37.79,C,2
T02,152,embauba,Cecropia ficifolia,Urticaceae,41,18.06,23.88,C,2
T02,153,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,50,20,38.36,C,2
T02,154,embauba,Cecropia ficifolia,Urticaceae,39.9,21.87,29.2,C,2
T02,155,matamata preto,Eschweilera ovata,Lecythidaceae,37.4,14.95,24.84,C,2
T02,156,pau-jacare,Laetia procera,Salicaceae,53.4,23.17,36.22,C,2
T02,157,tachi preto,Tachigali myrmecophila,Fabaceae,75,28.21,44.04,C,2
T02,158,casca seca,Licania canescens,Chrysobalanaceae,43.1,27.69,40.7,C,2
T02,159,guajara branco,Pouteria sp.,Sapotaceae,52.1,24.8,36.89,C,2
T02,160,macaranduba,Manilkara huberi,Sapotaceae,35.8,24.63,35,C,2
T02,161,casca seca,Licania canescens,Chrysobalanaceae,48.1,27.79,37.51,C,2
T02,162,casca seca,Licania canescens,Chrysobalanaceae,45.3,24.03,33.04,C,2
T02,163,morta,NA,NA,53.3,NA,10.24,NA,NA
T02,164,morta,NA,NA,46.4,NA,5.13,NA,NA
T02,165,macaranduba,Manilkara huberi,Sapotaceae,53,23.31,36.18,S,2
T02,166,morta,NA,NA,46,NA,14.68,NA,NA
T02,167,morta,NA,NA,57.8,NA,3.27,NA,NA
T02,168,fava-saboeiro,Abarema cochleata,Fabaceae,52,15.84,22.71,C,2
T02,169,roxinho,Peltogyne lecointei,Fabaceae,38.4,27.98,42.97,C,2
T02,170,embauba,Cecropia ficifolia,Urticaceae,43.7,23.12,31.05,C,2
T02,171,matamata branco,Eschweilera coriacea,Lecythidaceae,53.3,21.26,35.85,C,2
T02,172,pintadinho,Poeppigia procera,Fabaceae,44.8,22.73,36.62,C,2
T02,173,matamata branco,Eschweilera coriacea,Lecythidaceae,42,17.45,32.63,C,2
T02,174,abiurana,Pouteria gongrijpii,Sapotaceae,48.9,26.05,38.84,C,2
T02,175,ucuuba,Virola michelii,Myristicaceae,40.1,18.51,16.57,C,2
T02,176,morta,NA,NA,50,NA,8.67,NA,NA
T02,177,pintadinho,Poeppigia procera,Fabaceae,48,20.35,32.68,C,2
T02,178,uxirana,Sacoglottis guianensis,Humiriaceae,36.9,20.84,30.29,C,2
T02,179,copaiba,Copaifera reticulata,Fabaceae,81,27.12,42.54,C,2
T02,180,matamata preto,Eschweilera ovata,Lecythidaceae,41.4,13.43,28.06,C,2
T02,181,macucu,Licania guianensis,Chrysobalanaceae,52.9,21.83,35.41,C,2
T02,182,casca seca,Licania canescens,Chrysobalanaceae,45,25.19,35.34,C,2
T02,183,morta,NA,NA,35.9,NA,5.18,NA,NA
T02,184,abiurana casca fina,Pouteria retinervis,Sapotaceae,43,17.61,27.63,C,2
T02,185,capueiro,Rinorea guianensis,Violaceae,37.8,14.84,29.54,C,2
T02,186,abiurana,Pouteria gongrijpii,Sapotaceae,52.4,15.87,29.57,C,2
T02,187,matamata branco,Eschweilera coriacea,Lecythidaceae,36.4,16.89,34.88,C,2
T02,188,louro canelado,Ocotea canaliculata,Lauraceae,56.3,28.53,33.96,C,2
T03,2,caramuxi,Pouteria hispida,Sapotaceae,49.3,7.14,12.25,C,2
T03,3,parajuba,Manilkara bidentata,Sapotaceae,49,17.94,30.23,C,2
T03,5,jatoba,Hymenaea courbaril,Fabaceae,105.7,36.4,53.21,E,1
T03,7,abiurana,Pouteria gongrijpii,Sapotaceae,11.4,5.59,11.22,S,2
T03,8,inhare,Helicostylis sp.,Moraceae,18,16.81,27.28,S,3
T03,10,arataciu,Sagotia racemosa,Euphorbiaceae,14,6.17,9.68,S,2
T03,11,mato,NA,NA,32.5,15.83,23.29,S,2
T03,18,jatereu,Lecythis idatimon,Lecythidaceae,37.4,17.79,29.69,C,2
T03,19,maracatiara,Astronium graveolens,Anacardiaceae,100,37.32,54.76,E,1
T03,21,angelim rosa,Hymenolobium modestum,Fabaceae,11.3,2.29,18.67,S,2
T03,24,morta,NA,NA,37,NA,4.32,NA,NA
T03,25,casca seca,Licania canescens,Chrysobalanaceae,24.6,20.88,34.15,S,2
T03,26,matamata,Eschweilera parviflora,Lecythidaceae,60,27.64,41.3,C,2
T03,29,louro preto,Nectandra cuspidata,Lauraceae,14.4,12.06,22.29,S,2
T03,31,tachi,Tachigali myrmecophila,Fabaceae,60.9,25.89,42.8,C,2
T03,35,tachi,Tachigali myrmecophila,Fabaceae,45.5,18.55,30.52,C,2
T03,42,matamata,Eschweilera parviflora,Lecythidaceae,69.8,9.72,14.18,S,1
T03,47,cabreuva,Myrocarpus frondosus,Fabaceae,12.8,13.48,20.66,S,2
T03,49,morta,NA,NA,35.9,NA,19.01,NA,NA
T03,56,guajara branco,Pouteria sp.,Sapotaceae,49,18.54,28.63,C,2
T03,57,pau amarelo,Euxylophora paraensis,Rutaceae,67,20.44,34.1,C,2
T03,59,pau amarelo,Euxylophora paraensis,Rutaceae,101.1,24.22,36.85,E,1
T03,68,seringueira,Hevea brasiliensis,Euphorbiaceae,38.7,17.71,26.5,E,1
T03,69,capueiro,Rinorea guianensis,Violaceae,17.9,7.27,19.78,S,3
T03,72,envira,Xylopia sp.,Annonaceae,60.2,22.27,36.43,C,1
T03,76,louro vermelho,Sextonia rubra,Lauraceae,60.6,16.42,29.44,S,2
T03,78,capueiro,Rinorea guianensis,Violaceae,47.3,4.38,7.78,S,2
T03,79,inga,Inga marginata,Fabaceae,27.1,13.84,15.47,S,2
T03,81,tatapiririca,Tapirira guianensis,Anacardiaceae,13.6,9.59,14.82,S,2
T03,83,capueiro,Rinorea guianensis,Violaceae,20.8,12.38,25.53,S,3
T03,85,inhare,Helicostylis sp.,Moraceae,63.3,26.49,39.84,C,2
T03,86,matamata,Eschweilera amazonica,Lecythidaceae,30.9,17.98,32.21,S,2
T03,87,macaranduba,Manilkara huberi,Sapotaceae,67,36.64,60.44,E,1
T03,89,coracao-de-negro,Chamaecrista xinguensis,Fabaceae,16.5,15.08,19.19,S,3
T03,91,louro preto,Ocotea cernua,Lauraceae,38.8,21.41,35.78,C,2
T03,92,inga amarelo,Inga sp.,Fabaceae,10.4,4.99,9.28,S,3
T03,95,morta,NA,NA,36,NA,2.29,NA,NA
T03,97,breu branco,Protium paniculatum,Burseraceae,39.7,25.34,31.05,C,2
T03,98,matamata,Eschweilera amazonica,Lecythidaceae,41.6,14.27,30.55,C,2
T03,100,jatereu,Lecythis idatimon,Lecythidaceae,23.4,12.94,24.56,S,2
T03,102,abiurana,Pouteria gongrijpii,Sapotaceae,45.4,22.5,32.89,C,1
T03,103,pau amarelo,Euxylophora paraensis,Rutaceae,120,27.09,38.03,E,1
T03,106,merauba,Mouriri collocarpa,Melastomataceae,13.5,35.88,56.4,S,2
T03,107,timborana,Pseudopiptadenia suaveolens,Fabaceae,65,9.51,15.69,E,1
T03,108,morta,NA,NA,12.8,NA,11.61,NA,NA
T03,109,macaranduba,Manilkara huberi,Sapotaceae,82,31.73,43.03,E,1
T03,110,matamata,Eschweilera amazonica,Lecythidaceae,28.4,12.85,24.54,S,2
T03,111,parajuba,Manilkara bidentata,Sapotaceae,71,28.17,39.61,S,1
T03,113,tachi vermelho,Tachigali paniculata,Fabaceae,13,10.97,18.6,S,2
T03,116,taperebarana,Spondias sp.,Anacardiaceae,68.7,18.38,32.55,C,1
T03,119,parajuba,Manilkara bidentata,Sapotaceae,80,37.94,51.89,E,1
T03,120,breu vermelho,Protium hebetatum,Burseraceae,36.7,25.75,36.4,S,1
T03,123,abiurana,Pouteria gongrijpii,Sapotaceae,12,14.56,20.49,S,2
T03,125,jatereu,Lecythis idatimon,Lecythidaceae,29.5,22.35,29.32,S,1
T03,130,abiurana,Pouteria gongrijpii,Sapotaceae,22.2,9.1,13.7,S,2
T03,132,morta,NA,NA,20.4,NA,5.01,NA,NA
T03,137,morta,NA,NA,14.1,NA,1.83,NA,NA
T03,138,jatereu,Lecythis idatimon,Lecythidaceae,11.4,11.81,16.2,S,3
T03,140,uxirana,Sacoglottis guianensis,Humiriaceae,12,14.64,21.93,S,3
T03,143,caramuxi,Pouteria hispida,Sapotaceae,36.5,22.27,34.77,S,2
T03,146,uxirana,Sacoglottis guianensis,Humiriaceae,44.5,23.45,41,C,2
T03,147,arataciu,Sagotia racemosa,Euphorbiaceae,15.4,10.15,14.3,S,2
T03,148,copaiba,Copaifera reticulata,Fabaceae,69.3,28.79,47.58,E,1
T03,152,matamata,Eschweilera parviflora,Lecythidaceae,32.9,19.01,27.6,S,3
T03,155,matamata,Eschweilera parviflora,Lecythidaceae,29.4,16.51,26.59,S,2
T03,156,abiurana,Pouteria gongrijpii,Sapotaceae,63.3,26.06,35.79,C,1
T03,157,morta,NA,NA,49.8,NA,2.88,NA,NA
T03,159,capueiro,Rinorea guianensis,Violaceae,19.9,13,20.29,S,3
T03,160,capueiro,Rinorea guianensis,Violaceae,20.7,15.06,20.88,S,3
T03,161,fava-atana,Parkia gigantocarpa,Fabaceae,95,22.74,56.83,E,1
T03,167,arataciu,Sagotia racemosa,Euphorbiaceae,10.9,6.4,12.38,S,2
T03,169,inhare,Helicostylis sp.,Moraceae,51.6,20.22,28.13,C,1
